timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg
0,15.0,0.0,15.0,15.015,0.002,14.992,0.0169,0.01,-19.4,106.09
1,15.0,0.0,15.0,15.015,0.002,15.008,0.0173,0.01,-19.34,106.05
2,15.0,0.0,15.0,15.005,0.006,14.999,0.0083,0.02,-19.37,106.11
3,15.0,0.0,15.0,14.982,-0.003,14.997,0.0184,-0.01,-19.39,106.21
4,15.0,0.0,15.0,14.973,-0.006,15.012,0.0303,-0.02,-19.33,106.2
5,15.0,0.0,15.0,14.987,-0.006,15.025,0.0296,-0.02,-19.28,106.11
6,15.001,0.0,14.999,14.992,-0.023,14.999,0.0247,-0.09,-19.38,106.16
7,15.001,0.0,14.999,14.996,-0.019,15.005,0.0201,-0.07,-19.36,106.13
8,15.001,0.0,14.999,14.979,-0.011,15.018,0.0318,-0.04,-19.31,106.16
9,15.001,0.0,14.998,14.985,0.002,14.995,0.0169,0.01,-19.4,106.2
10,15.002,0.0,14.998,15.029,0.002,15.019,0.0349,0.01,-19.29,105.96
11,15.002,0.0,14.998,14.977,-0.008,15.019,0.0338,-0.03,-19.3,106.17
12,15.002,0.0,14.997,14.989,0.018,15.009,0.0249,0.07,-19.34,106.15
13,15.003,0.0,14.997,15.003,-0.006,15.01,0.0151,-0.02,-19.33,106.09
14,15.003,0.0,14.996,14.976,0.002,15.024,0.0388,0.01,-19.28,106.16
15,15.004,0.0,14.996,14.999,0.009,14.997,0.01,0.03,-19.38,106.14
16,15.004,0.0,14.995,14.98,0.017,15.007,0.0321,0.07,-19.35,106.19
17,15.005,0.0,14.994,15.021,0.002,14.974,0.0261,0.01,-19.47,106.11
18,15.005,0.0,14.994,15.01,-0.007,14.982,0.0144,-0.03,-19.44,106.14
19,15.006,0.0,14.993,15.029,-0.014,14.963,0.0399,-0.05,-19.51,106.11
20,15.006,0.0,14.992,15.022,0.009,14.979,0.0225,0.04,-19.45,106.09
21,15.007,0.0,14.991,15.007,-0.01,14.982,0.0136,-0.04,-19.44,106.15
22,15.008,0.0,14.991,15.005,-0.005,14.994,0.0064,-0.02,-19.4,106.12
23,15.008,0.0,14.99,15.019,-0.003,14.996,0.0125,-0.01,-19.39,106.06
24,15.009,0.0,14.989,15.015,-0.019,14.995,0.0208,-0.07,-19.39,106.08
25,15.01,0.0,14.988,15.028,-0.013,14.963,0.0333,-0.05,-19.51,106.11
26,15.011,0.0,14.987,15.004,0.005,14.99,0.0092,0.02,-19.41,106.14
27,15.011,0.0,14.986,15.021,0.005,14.991,0.012,0.02,-19.4,106.07
28,15.012,0.0,14.985,15.033,-0.001,14.958,0.0338,-0.0,-19.53,106.11
29,15.013,0.0,14.984,14.98,-0.004,14.999,0.0364,-0.01,-19.38,106.21
30,15.014,0.0,14.982,15.016,0.004,14.978,0.0064,0.02,-19.46,106.12
31,15.015,0.0,14.981,15.008,0.023,14.976,0.0249,0.09,-19.47,106.16
32,15.016,0.0,14.98,15.015,-0.016,14.971,0.0181,-0.06,-19.49,106.15
33,15.017,0.0,14.979,15.0,0.003,14.975,0.0181,0.01,-19.47,106.2
34,15.018,0.0,14.977,15.02,-0.02,14.983,0.0205,-0.08,-19.44,106.1
35,15.019,0.0,14.976,15.029,0.012,14.965,0.0193,0.05,-19.51,106.1
36,15.02,0.0,14.975,15.014,0.0,14.98,0.0085,0.0,-19.45,106.12
37,15.021,0.0,14.973,15.026,-0.002,14.973,0.0046,-0.01,-19.48,106.1
38,15.023,0.0,14.972,14.999,0.017,15.003,0.0425,0.06,-19.36,106.13
39,15.024,0.0,14.97,15.037,0.01,14.97,0.0162,0.04,-19.48,106.06
40,15.025,0.0,14.969,14.995,-0.025,15.007,0.0547,-0.1,-19.35,106.13
41,15.026,0.0,14.967,14.992,0.008,14.986,0.0397,0.03,-19.43,106.2
42,15.028,0.0,14.966,14.979,-0.012,15.006,0.0643,-0.04,-19.36,106.2
43,15.029,0.0,14.964,14.996,-0.004,14.984,0.0386,-0.01,-19.44,106.18
44,15.03,0.0,14.962,15.026,-0.011,14.96,0.0117,-0.04,-19.53,106.13
45,15.032,0.0,14.96,15.014,0.027,14.964,0.0327,0.1,-19.51,106.17
46,15.033,0.0,14.959,15.041,-0.003,14.95,0.0125,-0.01,-19.56,106.1
47,15.035,0.0,14.957,14.993,0.002,14.972,0.0437,0.01,-19.49,106.23
48,15.036,0.0,14.955,14.973,0.003,15.0,0.0776,0.01,-19.38,106.24
49,15.038,0.0,14.953,15.059,-0.011,14.955,0.0246,-0.04,-19.54,106.01
50,15.039,0.0,14.951,15.007,0.013,14.962,0.0363,0.05,-19.52,106.2
51,15.041,0.0,14.949,15.044,0.016,14.949,0.0165,0.06,-19.57,106.09
52,15.042,0.0,14.947,15.007,0.005,14.968,0.0417,0.02,-19.5,106.18
53,15.044,0.0,14.945,15.04,0.013,14.952,0.0153,0.05,-19.56,106.1
54,15.046,0.0,14.943,15.018,0.014,14.944,0.0304,0.05,-19.59,106.2
55,15.047,0.0,14.941,15.051,0.014,14.918,0.0274,0.06,-19.69,106.14
56,15.049,0.0,14.939,15.04,0.009,14.932,0.014,0.03,-19.63,106.15
57,15.051,0.0,14.937,15.051,0.006,14.914,0.0231,0.02,-19.7,106.15
58,15.053,0.0,14.934,15.044,0.025,14.925,0.0278,0.09,-19.66,106.15
59,15.054,0.0,14.932,15.042,0.0,14.942,0.0161,0.0,-19.59,106.11
60,15.056,0.0,14.93,15.053,-0.001,14.939,0.0095,-0.0,-19.61,106.08
61,15.058,0.0,14.927,15.059,0.001,14.939,0.0121,0.0,-19.6,106.05
62,15.06,0.0,14.925,15.039,0.003,14.954,0.0362,0.01,-19.55,106.09
63,15.062,0.0,14.922,15.044,0.024,14.926,0.0308,0.09,-19.66,106.15
64,15.064,0.0,14.92,15.027,-0.011,14.943,0.0445,-0.04,-19.59,106.17
65,15.066,0.0,14.917,15.046,-0.025,14.918,0.0317,-0.09,-19.69,106.16
66,15.068,0.0,14.915,15.072,0.001,14.921,0.0074,0.0,-19.67,106.05
67,15.07,0.0,14.912,15.054,-0.029,14.927,0.0364,-0.11,-19.65,106.1
68,15.072,0.0,14.91,15.076,0.007,14.889,0.0217,0.03,-19.79,106.12
69,15.074,0.0,14.907,15.043,-0.003,14.901,0.0316,-0.01,-19.76,106.22
70,15.077,0.0,14.904,15.043,0.011,14.916,0.0376,0.04,-19.7,106.18
71,15.079,0.0,14.902,15.077,-0.001,14.917,0.0154,-0.0,-19.69,106.04
72,15.081,0.0,14.899,15.053,0.012,14.93,0.0435,0.04,-19.64,106.1
73,15.083,0.0,14.896,15.08,-0.001,14.903,0.0083,-0.0,-19.74,106.07
74,15.086,0.0,14.893,15.107,0.015,14.891,0.0265,0.06,-19.78,105.99
75,15.088,0.0,14.89,15.112,-0.005,14.877,0.0281,-0.02,-19.84,106.01
76,15.09,0.0,14.887,15.097,0.0,14.882,0.0085,0.0,-19.82,106.05
77,15.093,0.0,14.884,15.112,0.016,14.885,0.0248,0.06,-19.8,105.98
78,15.095,0.0,14.881,15.111,-0.03,14.884,0.0341,-0.11,-19.81,105.99
79,15.097,0.0,14.878,15.089,0.018,14.892,0.0245,0.07,-19.78,106.06
80,15.1,0.0,14.875,15.094,0.014,14.887,0.0193,0.05,-19.8,106.05
81,15.102,0.0,14.872,15.118,0.013,14.85,0.0299,0.05,-19.94,106.05
82,15.105,0.0,14.869,15.138,-0.026,14.868,0.0419,-0.1,-19.86,105.92
