timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg
0,15.0,0.0,15.0,14.999,-0.01,15.01,0.0142,-0.04,-19.33,106.11
1,15.0,-0.0,15.0,14.99,-0.002,15.01,0.0143,-0.01,-19.33,106.14
2,15.0,-0.0,15.0,14.983,-0.021,15.01,0.0293,-0.08,-19.34,106.17
3,15.0,-0.0,15.0,14.977,0.001,15.025,0.034,0.0,-19.28,106.15
4,15.0,-0.0,15.0,14.973,-0.006,15.013,0.0308,-0.02,-19.33,106.2
5,15.0,-0.0,14.999,14.947,-0.008,15.037,0.0655,-0.03,-19.24,106.24
6,15.0,-0.0,14.999,15.036,-0.005,14.982,0.0402,-0.02,-19.44,106.03
7,15.0,-0.0,14.999,14.992,-0.027,15.018,0.0338,-0.1,-19.31,106.11
8,15.0,-0.001,14.999,14.974,-0.003,15.033,0.0432,-0.01,-19.25,106.15
9,15.0,-0.001,14.998,14.992,-0.004,15.008,0.0132,-0.02,-19.34,106.14
10,15.0,-0.001,14.998,14.981,-0.006,15.005,0.0212,-0.02,-19.36,106.19
11,15.0,-0.001,14.997,14.988,0.014,15.018,0.0291,0.06,-19.3,106.13
12,15.0,-0.001,14.997,14.984,-0.014,15.012,0.0257,-0.06,-19.33,106.16
13,15.0,-0.002,14.996,14.992,0.012,15.009,0.0208,0.05,-19.34,106.13
14,15.0,-0.002,14.996,14.976,0.011,15.012,0.0319,0.04,-19.33,106.19
15,15.001,-0.002,14.995,15.023,-0.028,14.973,0.0411,-0.11,-19.48,106.11
16,15.001,-0.003,14.994,15.005,-0.01,14.99,0.0096,-0.04,-19.41,106.13
17,15.001,-0.003,14.993,15.02,0.014,14.957,0.0447,0.05,-19.54,106.16
18,15.001,-0.003,14.993,14.999,-0.019,14.999,0.0176,-0.07,-19.38,106.13
19,15.001,-0.004,14.992,15.031,-0.016,14.989,0.0325,-0.06,-19.41,106.03
