timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg
0,15.0,0.0,15.0,15.012,-0.001,14.988,0.0166,-0.0,-19.42,106.11
1,15.0,0.0,15.0,14.98,0.003,15.006,0.0213,0.01,-19.35,106.19
2,15.0,0.0,15.0,15.002,0.002,15.018,0.0184,0.01,-19.3,106.07
3,15.0,0.0,15.0,15.006,-0.006,14.992,0.0121,-0.02,-19.41,106.13
4,15.0,0.0,15.0,15.013,-0.021,14.983,0.0305,-0.08,-19.44,106.12
5,15.0,0.001,15.0,15.02,0.004,14.974,0.0335,0.01,-19.47,106.12
6,15.0,0.001,15.0,14.978,0.021,15.023,0.0375,0.08,-19.29,106.15
7,15.0,0.001,15.0,15.013,-0.017,14.999,0.0224,-0.07,-19.37,106.08
8,15.0,0.002,15.0,14.995,0.014,15.006,0.0147,0.05,-19.35,106.13
9,15.0,0.002,15.0,14.989,0.011,15.013,0.0195,0.04,-19.32,106.14
10,15.0,0.003,15.0,15.029,-0.029,14.989,0.0438,-0.11,-19.41,106.04
11,15.0,0.003,15.0,14.999,0.017,15.0,0.014,0.06,-19.37,106.13
12,15.0,0.004,15.0,14.991,-0.006,15.014,0.019,-0.02,-19.32,106.12
13,15.0,0.004,15.0,14.985,-0.005,15.01,0.0204,-0.02,-19.34,106.16
14,15.0,0.005,15.0,15.003,0.026,15.006,0.0217,0.1,-19.35,106.1
15,15.0,0.006,15.0,15.013,0.023,14.987,0.025,0.09,-19.42,106.11
16,15.0,0.006,15.0,14.998,0.005,15.012,0.0123,0.02,-19.33,106.1
17,15.0,0.007,15.0,14.986,-0.012,15.009,0.0252,-0.05,-19.34,106.16
18,15.0,0.008,15.0,14.99,0.018,14.992,0.016,0.07,-19.41,106.19
19,15.0,0.009,15.0,15.011,0.003,15.006,0.0137,0.01,-19.35,106.07
20,15.0,0.01,15.0,14.979,0.03,15.022,0.036,0.11,-19.29,106.15
