timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg,torque_shoulder,torque_elbow,limit_shoulder,limit_elbow,torque_base,limit_base
0,20.0,0.0,20.0,19.987,0.0,19.59,0.4104,0.0,82.53,-112.15,6.66,5.63,54.0,8.1,-0.11,2.02
1,20.0,-0.0,20.0,19.994,-0.008,19.646,0.3539,-0.02,82.6,-112.04,6.66,5.63,54.0,8.1,-0.11,2.02
2,20.0,-0.0,20.0,20.017,-0.008,19.629,0.3716,-0.02,82.51,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
3,20.0,-0.0,20.0,20.017,0.015,19.629,0.3717,0.04,82.51,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
4,20.0,-0.0,20.0,20.006,-0.038,19.652,0.3499,-0.11,82.57,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
5,20.0,-0.0,19.999,19.998,0.0,19.667,0.3322,0.0,82.62,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
6,20.0,-0.0,19.999,20.014,0.015,19.622,0.3776,0.04,82.51,-112.02,6.66,5.63,54.0,8.1,-0.11,2.02
7,20.0,-0.0,19.999,20.006,-0.008,19.637,0.3615,-0.02,82.55,-112.02,6.66,5.63,54.0,8.1,-0.11,2.02
8,20.0,-0.001,19.999,20.006,0.0,19.609,0.3897,0.0,82.51,-112.06,6.66,5.63,54.0,8.1,-0.11,2.02
9,20.0,-0.001,19.998,19.998,-0.008,19.61,0.3884,-0.02,82.53,-112.08,6.66,5.63,54.0,8.1,-0.11,2.02
10,20.0,-0.001,19.998,20.021,0.015,19.636,0.3631,0.04,82.51,-111.97,6.66,5.63,54.0,8.1,-0.11,2.02
11,20.0,-0.001,19.997,20.006,0.008,19.623,0.3742,0.02,82.53,-112.04,6.66,5.63,54.0,8.1,-0.11,2.02
12,20.0,-0.001,19.997,20.002,-0.008,19.66,0.3372,-0.02,82.6,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
13,20.0,-0.002,19.996,19.991,-0.008,19.639,0.3567,-0.02,82.6,-112.06,6.66,5.63,54.0,8.1,-0.11,2.02
14,20.0,-0.002,19.995,19.991,-0.015,19.611,0.385,-0.04,82.55,-112.1,6.66,5.63,54.0,8.1,-0.11,2.02
15,20.0,-0.002,19.995,20.006,0.008,19.638,0.3574,0.02,82.55,-112.02,6.66,5.63,54.0,8.1,-0.11,2.02
16,20.0,-0.002,19.994,19.998,-0.023,19.639,0.3561,-0.07,82.57,-112.04,6.66,5.63,54.0,8.1,-0.11,2.02
17,20.0,-0.003,19.993,19.99,0.038,19.668,0.3278,0.11,82.64,-112.02,6.66,5.63,54.0,8.1,-0.11,2.02
18,20.0,-0.003,19.992,20.013,-0.023,19.637,0.3567,-0.07,82.53,-111.99,6.66,5.63,54.0,8.1,-0.11,2.02
19,20.0,-0.003,19.992,20.01,0.015,19.63,0.3623,0.04,82.53,-112.02,6.66,5.63,54.0,8.1,-0.11,2.02
20,20.0,-0.004,19.991,19.987,0.008,19.604,0.3869,0.02,82.55,-112.13,6.66,5.63,54.0,8.1,-0.11,2.02
21,20.0,-0.004,19.99,19.991,-0.008,19.611,0.379,-0.02,82.55,-112.1,6.66,5.63,54.0,8.1,-0.11,2.02
