timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,motor1_vel,motor2_vel,velocity,pwm_effort,hz
0,1,10.0,10.0,10.022,9.98,0.03,-16.99,123.74,0.0,0.0,18.0,127,1000
1,1,10.0,9.999,10.017,9.995,0.018,-16.92,123.71,-4.0,4.0,18.0,127,1000
2,1,9.999,9.997,9.977,9.987,0.024,-16.9,123.86,-8.0,8.0,18.0,127,1000
3,1,9.998,9.994,10.011,9.984,0.017,-16.96,123.76,-12.0,12.0,18.0,127,1000
4,1,9.997,9.99,9.979,9.997,0.02,-16.86,123.82,-16.0,16.0,18.0,127,1000
5,1,9.995,9.985,9.962,9.984,0.034,-16.89,123.92,-20.0,20.0,18.0,127,1000
6,1,9.994,9.979,10.017,9.969,0.025,-17.03,123.79,-24.0,24.0,18.0,127,1000
7,1,9.991,9.972,9.973,9.967,0.019,-16.98,123.93,-28.0,28.0,18.0,127,1000
8,1,9.989,9.964,9.971,9.978,0.023,-16.93,123.91,-32.0,32.0,18.0,127,1000
9,1,9.986,9.955,9.994,9.935,0.021,-17.15,123.97,-36.0,36.0,18.0,127,1000
10,1,9.983,9.945,9.993,9.934,0.014,-17.16,123.97,-40.0,40.0,18.0,127,1000
11,1,9.98,9.934,9.996,9.918,0.022,-17.23,124.01,-44.0,44.0,18.0,127,1000
12,1,9.976,9.922,9.969,9.922,0.007,-17.18,124.08,-48.0,48.0,18.0,127,1000
13,1,9.972,9.909,9.998,9.9,0.028,-17.31,124.06,-52.0,52.0,18.0,127,1000
14,1,9.968,9.895,9.965,9.89,0.006,-17.31,124.19,-56.0,56.0,18.0,127,1000
15,1,9.963,9.88,9.965,9.888,0.008,-17.32,124.2,-60.0,60.0,18.0,127,1000
16,1,9.958,9.864,9.939,9.888,0.031,-17.29,124.28,-64.0,64.0,18.0,127,1000
17,1,9.953,9.847,9.958,9.853,0.007,-17.47,124.33,-68.0,68.0,18.0,127,1000
