timestamp_ms,target_pos,sensor_pos,real_arm_pos,belt_stretch,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.0,0.0,0.0,0.0,180,0.0,0.0,1000
1,0.003,-0.04,-0.04,0.0398,0.043,180,0.03,0.56,1000
2,0.012,-0.046,-0.046,0.047,0.058,180,0.06,0.66,1000
3,0.027,-0.052,-0.052,0.0542,0.079,180,0.09,0.76,1000
4,0.048,-0.058,-0.058,0.0613,0.106,180,0.12,0.86,1000
5,0.075,-0.064,-0.064,0.0685,0.139,180,0.15,0.96,1000
6,0.108,-0.069,-0.069,0.0756,0.177,180,0.18,1.06,1000
7,0.147,-0.074,-0.074,0.0828,0.221,180,0.21,1.16,1000
8,0.192,-0.079,-0.079,0.09,0.271,180,0.24,1.26,1000
9,0.243,-0.084,-0.084,0.0971,0.327,180,0.27,1.36,1000
10,0.3,-0.088,-0.088,0.1043,0.388,180,0.3,1.46,1000
11,0.363,-0.092,-0.092,0.1114,0.455,180,0.33,1.56,1000
12,0.432,-0.095,-0.095,0.1186,0.527,180,0.36,1.66,1000
13,0.507,-0.098,-0.098,0.1258,0.605,180,0.39,1.76,1000
14,0.588,-0.101,-0.101,0.1329,0.689,180,0.42,1.86,1000
15,0.675,-0.104,-0.104,0.1401,0.779,180,0.45,1.96,1000
16,0.768,-0.106,-0.106,0.1472,0.874,180,0.48,2.06,1000
17,0.867,-0.109,-0.109,0.1544,0.976,180,0.51,2.16,1000
18,0.972,-0.11,-0.11,0.1616,1.082,180,0.54,2.26,1000
19,1.083,-0.112,-0.112,0.1687,1.195,180,0.57,2.36,1000
20,1.2,-0.113,-0.113,0.1759,1.313,180,0.6,2.46,1000
21,1.323,-0.114,-0.114,0.1831,1.437,180,0.63,2.56,1000
22,1.452,-0.114,-0.114,0.1902,1.566,180,0.66,2.66,1000
23,1.587,-0.115,-0.115,0.1974,1.702,180,0.69,2.76,1000
24,1.728,-0.115,-0.115,0.2045,1.843,180,0.72,2.86,1000
25,1.875,-0.114,-0.114,0.2117,1.989,180,0.75,2.96,1000
26,2.028,-0.114,-0.114,0.2188,2.142,180,0.78,3.06,1000
27,2.187,-0.113,-0.113,0.226,2.3,180,0.81,3.16,1000
28,2.352,-0.111,-0.111,0.2332,2.463,180,0.84,3.26,1000
29,2.523,-0.11,-0.11,0.2403,2.633,180,0.87,3.36,1000
30,2.7,-0.108,-0.108,0.2475,2.808,180,0.9,3.46,1000
