timestamp_ms,target_pos,sensor_pos,real_arm_pos,belt_stretch,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,1000
1,0.003,-0.04,-0.04,0.0398,0.043,75,0.03,0.56,1000
2,0.012,-0.046,-0.046,0.047,0.058,75,0.06,0.66,1000
3,0.027,-0.052,-0.052,0.0542,0.079,75,0.09,0.76,1000
4,0.048,-0.058,-0.058,0.0613,0.106,75,0.12,0.86,1000
5,0.075,-0.064,-0.064,0.0685,0.139,75,0.15,0.96,1000
6,0.108,-0.069,-0.069,0.0756,0.177,75,0.18,1.06,1000
7,0.147,-0.074,-0.074,0.0828,0.221,75,0.21,1.16,1000
8,0.192,-0.079,-0.079,0.09,0.271,75,0.24,1.26,1000
9,0.243,-0.084,-0.084,0.0971,0.327,75,0.27,1.36,1000
10,0.3,-0.088,-0.088,0.1043,0.388,75,0.3,1.46,1000
11,0.363,-0.092,-0.092,0.1114,0.455,75,0.33,1.56,1000
12,0.432,-0.095,-0.095,0.1186,0.527,75,0.36,1.66,1000
13,0.506,-0.098,-0.098,0.1258,0.605,75,0.39,1.76,1000
14,0.581,-0.101,-0.101,0.1329,0.683,75,0.42,1.86,1000
15,0.656,-0.104,-0.104,0.1401,0.76,75,0.45,1.96,1000
16,0.731,-0.106,-0.106,0.1472,0.838,75,0.48,2.06,1000
17,0.806,-0.109,-0.109,0.1544,0.915,75,0.51,2.16,1000
18,0.881,-0.11,-0.11,0.1616,0.992,75,0.54,2.26,1000
19,0.956,-0.112,-0.112,0.1687,1.068,75,0.57,2.36,1000
20,1.031,-0.113,-0.113,0.1759,1.144,75,0.6,2.46,1000
21,1.106,-0.114,-0.114,0.1831,1.22,75,0.63,2.56,1000
22,1.181,-0.114,-0.114,0.1902,1.296,75,0.66,2.66,1000
23,1.256,-0.115,-0.115,0.1974,1.371,75,0.69,2.76,1000
24,1.331,-0.115,-0.115,0.2045,1.446,75,0.72,2.86,1000
25,1.406,-0.114,-0.114,0.2117,1.52,75,0.75,2.96,1000
26,1.481,-0.114,-0.114,0.2188,1.595,75,0.78,3.06,1000
27,1.556,-0.113,-0.113,0.226,1.669,75,0.81,3.16,1000
28,1.631,-0.111,-0.111,0.2332,1.743,75,0.84,3.26,1000
29,1.706,-0.11,-0.11,0.2403,1.816,75,0.87,3.36,1000
30,1.781,-0.108,-0.108,0.2475,1.889,75,0.9,3.46,1000
31,1.856,-0.106,-0.106,0.2546,1.962,75,0.93,3.56,1000
32,1.931,-0.103,-0.103,0.2618,2.035,75,0.96,3.66,1000
33,2.006,-0.101,-0.101,0.269,2.107,75,0.99,3.76,1000
34,2.081,-0.098,-0.098,0.2761,2.179,75,1.02,3.86,1000
35,2.156,-0.094,-0.094,0.2833,2.251,75,1.05,3.96,1000
36,2.231,-0.091,-0.091,0.2904,2.322,75,1.08,4.06,1000
37,2.306,-0.087,-0.087,0.2976,2.393,75,1.11,4.15,1000
38,2.381,-0.082,-0.082,0.3047,2.464,75,1.14,4.25,1000
39,2.456,-0.078,-0.078,0.3119,2.534,75,1.17,4.35,1000
40,2.531,-0.073,-0.073,0.319,2.604,75,1.2,4.45,1000
41,2.606,-0.068,-0.068,0.3262,2.674,75,1.23,4.55,1000
42,2.681,-0.062,-0.062,0.3333,2.744,75,1.26,4.65,1000
43,2.756,-0.057,-0.057,0.3405,2.813,75,1.29,4.75,1000
44,2.831,-0.051,-0.051,0.3477,2.882,75,1.32,4.85,1000
45,2.906,-0.044,-0.044,0.3548,2.951,75,1.35,4.95,1000
46,2.981,-0.038,-0.038,0.362,3.019,75,1.38,5.05,1000
47,3.056,-0.031,-0.031,0.3691,3.087,75,1.41,5.15,1000
48,3.131,-0.023,-0.023,0.3763,3.155,75,1.44,5.25,1000
49,3.206,-0.016,-0.016,0.3834,3.222,75,1.47,5.35,1000
50,3.281,-0.008,-0.008,0.3906,3.289,75,1.5,5.45,1000
51,3.356,0.0,0.0,0.3977,3.356,75,1.53,5.55,1000
52,3.431,0.009,0.009,0.4049,3.423,75,1.56,5.65,1000
53,3.506,0.017,0.017,0.412,3.489,75,1.59,5.75,1000
54,3.581,0.026,0.026,0.4192,3.555,75,1.62,5.85,1000
55,3.656,0.036,0.036,0.4263,3.621,75,1.65,5.95,1000
56,3.731,0.045,0.045,0.4335,3.686,75,1.68,6.05,1000
57,3.806,0.055,0.055,0.4406,3.751,75,1.71,6.15,1000
58,3.881,0.066,0.066,0.4477,3.816,75,1.74,6.25,1000
59,3.956,0.076,0.076,0.4549,3.88,75,1.77,6.35,1000
60,4.031,0.087,0.087,0.462,3.944,75,1.8,6.45,1000
61,4.106,0.098,0.098,0.4692,4.008,75,1.83,6.55,1000
62,4.181,0.11,0.11,0.4763,4.072,75,1.86,6.65,1000
63,4.256,0.121,0.121,0.4835,4.135,75,1.89,6.75,1000
64,4.331,0.133,0.133,0.4906,4.198,75,1.91,6.85,1000
65,4.406,0.146,0.146,0.4978,4.261,75,1.94,6.95,1000
66,4.481,0.158,0.158,0.5049,4.323,75,1.97,7.05,1000
67,4.556,0.171,0.171,0.512,4.385,75,2.0,7.15,1000
