timestamp_ms,target_pos,sensor_pos,real_arm_pos,belt_stretch,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.0,0.0,0.0,0.0,270,0.0,0.0,1000
1,0.003,-0.04,-0.04,0.0398,0.043,270,0.03,0.56,1000
2,0.012,-0.046,-0.046,0.047,0.058,270,0.06,0.66,1000
3,0.027,-0.052,-0.052,0.0542,0.079,270,0.09,0.76,1000
4,0.048,-0.058,-0.058,0.0613,0.106,270,0.12,0.86,1000
5,0.075,-0.064,-0.064,0.0685,0.139,270,0.15,0.96,1000
6,0.108,-0.069,-0.069,0.0756,0.177,270,0.18,1.06,1000
7,0.147,-0.074,-0.074,0.0828,0.221,270,0.21,1.16,1000
8,0.192,-0.079,-0.079,0.09,0.271,270,0.24,1.26,1000
9,0.243,-0.084,-0.084,0.0971,0.327,270,0.27,1.36,1000
10,0.3,-0.088,-0.088,0.1043,0.388,270,0.3,1.46,1000
11,0.363,-0.092,-0.092,0.1114,0.455,270,0.33,1.56,1000
12,0.432,-0.095,-0.095,0.1186,0.527,270,0.36,1.66,1000
13,0.507,-0.098,-0.098,0.1258,0.605,270,0.39,1.76,1000
14,0.588,-0.101,-0.101,0.1329,0.689,270,0.42,1.86,1000
15,0.675,-0.104,-0.104,0.1401,0.779,270,0.45,1.96,1000
16,0.768,-0.106,-0.106,0.1472,0.874,270,0.48,2.06,1000
17,0.867,-0.109,-0.109,0.1544,0.976,270,0.51,2.16,1000
18,0.972,-0.11,-0.11,0.1616,1.082,270,0.54,2.26,1000
19,1.083,-0.112,-0.112,0.1687,1.195,270,0.57,2.36,1000
20,1.2,-0.113,-0.113,0.1759,1.313,270,0.6,2.46,1000
21,1.323,-0.114,-0.114,0.1831,1.437,270,0.63,2.56,1000
22,1.452,-0.114,-0.114,0.1902,1.566,270,0.66,2.66,1000
23,1.587,-0.115,-0.115,0.1974,1.702,270,0.69,2.76,1000
24,1.728,-0.115,-0.115,0.2045,1.843,270,0.72,2.86,1000
25,1.875,-0.114,-0.114,0.2117,1.989,270,0.75,2.96,1000
26,2.028,-0.114,-0.114,0.2188,2.142,270,0.78,3.06,1000
27,2.187,-0.113,-0.113,0.226,2.3,270,0.81,3.16,1000
28,2.352,-0.111,-0.111,0.2332,2.463,270,0.84,3.26,1000
29,2.523,-0.11,-0.11,0.2403,2.633,270,0.87,3.36,1000
30,2.7,-0.108,-0.108,0.2475,2.808,270,0.9,3.46,1000
31,2.883,-0.106,-0.106,0.2546,2.989,270,0.93,3.56,1000
32,3.072,-0.103,-0.103,0.2618,3.175,270,0.96,3.66,1000
33,3.267,-0.101,-0.101,0.269,3.368,270,0.99,3.76,1000
34,3.468,-0.098,-0.098,0.2761,3.566,270,1.02,3.86,1000
35,3.675,-0.094,-0.094,0.2833,3.769,270,1.05,3.96,1000
36,3.888,-0.091,-0.091,0.2904,3.979,270,1.08,4.06,1000
37,4.107,-0.087,-0.087,0.2976,4.194,270,1.11,4.15,1000
38,4.332,-0.082,-0.082,0.3047,4.414,270,1.14,4.25,1000
39,4.563,-0.078,-0.078,0.3119,4.641,270,1.17,4.35,1000
40,4.8,-0.073,-0.073,0.319,4.873,270,1.2,4.45,1000
41,5.043,-0.068,-0.068,0.3262,5.111,270,1.23,4.55,1000
42,5.292,-0.062,-0.062,0.3333,5.354,270,1.26,4.65,1000
