timestamp_ms,target_pos,sensor_pos,real_arm_pos,belt_stretch,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,1000
1,0.003,-0.04,-0.04,0.0398,0.043,90,0.03,0.56,1000
2,0.012,-0.046,-0.046,0.047,0.058,90,0.06,0.66,1000
3,0.027,-0.052,-0.052,0.0542,0.079,90,0.09,0.76,1000
4,0.048,-0.058,-0.058,0.0613,0.106,90,0.12,0.86,1000
5,0.075,-0.064,-0.064,0.0685,0.139,90,0.15,0.96,1000
6,0.108,-0.069,-0.069,0.0756,0.177,90,0.18,1.06,1000
7,0.147,-0.074,-0.074,0.0828,0.221,90,0.21,1.16,1000
8,0.192,-0.079,-0.079,0.09,0.271,90,0.24,1.26,1000
9,0.243,-0.084,-0.084,0.0971,0.327,90,0.27,1.36,1000
10,0.3,-0.088,-0.088,0.1043,0.388,90,0.3,1.46,1000
11,0.363,-0.092,-0.092,0.1114,0.455,90,0.33,1.56,1000
12,0.432,-0.095,-0.095,0.1186,0.527,90,0.36,1.66,1000
13,0.507,-0.098,-0.098,0.1258,0.605,90,0.39,1.76,1000
14,0.588,-0.101,-0.101,0.1329,0.689,90,0.42,1.86,1000
15,0.675,-0.104,-0.104,0.1401,0.779,90,0.45,1.96,1000
16,0.765,-0.106,-0.106,0.1472,0.871,90,0.48,2.06,1000
17,0.855,-0.109,-0.109,0.1544,0.964,90,0.51,2.16,1000
18,0.945,-0.11,-0.11,0.1616,1.055,90,0.54,2.26,1000
19,1.035,-0.112,-0.112,0.1687,1.147,90,0.57,2.36,1000
20,1.125,-0.113,-0.113,0.1759,1.238,90,0.6,2.46,1000
21,1.215,-0.114,-0.114,0.1831,1.329,90,0.63,2.56,1000
22,1.305,-0.114,-0.114,0.1902,1.419,90,0.66,2.66,1000
23,1.395,-0.115,-0.115,0.1974,1.51,90,0.69,2.76,1000
24,1.485,-0.115,-0.115,0.2045,1.6,90,0.72,2.86,1000
25,1.575,-0.114,-0.114,0.2117,1.689,90,0.75,2.96,1000
26,1.665,-0.114,-0.114,0.2188,1.779,90,0.78,3.06,1000
27,1.755,-0.113,-0.113,0.226,1.868,90,0.81,3.16,1000
28,1.845,-0.111,-0.111,0.2332,1.956,90,0.84,3.26,1000
29,1.935,-0.11,-0.11,0.2403,2.045,90,0.87,3.36,1000
30,2.025,-0.108,-0.108,0.2475,2.133,90,0.9,3.46,1000
31,2.115,-0.106,-0.106,0.2546,2.221,90,0.93,3.56,1000
32,2.205,-0.103,-0.103,0.2618,2.308,90,0.96,3.66,1000
33,2.295,-0.101,-0.101,0.269,2.396,90,0.99,3.76,1000
34,2.385,-0.098,-0.098,0.2761,2.483,90,1.02,3.86,1000
35,2.475,-0.094,-0.094,0.2833,2.569,90,1.05,3.96,1000
36,2.565,-0.091,-0.091,0.2904,2.656,90,1.08,4.06,1000
37,2.655,-0.087,-0.087,0.2976,2.742,90,1.11,4.15,1000
38,2.745,-0.082,-0.082,0.3047,2.827,90,1.14,4.25,1000
39,2.835,-0.078,-0.078,0.3119,2.913,90,1.17,4.35,1000
40,2.925,-0.073,-0.073,0.319,2.998,90,1.2,4.45,1000
41,3.015,-0.068,-0.068,0.3262,3.083,90,1.23,4.55,1000
42,3.105,-0.062,-0.062,0.3333,3.167,90,1.26,4.65,1000
43,3.195,-0.057,-0.057,0.3405,3.252,90,1.29,4.75,1000
44,3.285,-0.051,-0.051,0.3477,3.336,90,1.32,4.85,1000
45,3.375,-0.044,-0.044,0.3548,3.419,90,1.35,4.95,1000
46,3.465,-0.038,-0.038,0.362,3.503,90,1.38,5.05,1000
47,3.555,-0.031,-0.031,0.3691,3.586,90,1.41,5.15,1000
48,3.645,-0.023,-0.023,0.3763,3.668,90,1.44,5.25,1000
49,3.735,-0.016,-0.016,0.3834,3.751,90,1.47,5.35,1000
50,3.825,-0.008,-0.008,0.3906,3.833,90,1.5,5.45,1000
51,3.915,0.0,0.0,0.3977,3.915,90,1.53,5.55,1000
52,4.005,0.009,0.009,0.4049,3.996,90,1.56,5.65,1000
53,4.095,0.017,0.017,0.412,4.078,90,1.59,5.75,1000
54,4.185,0.026,0.026,0.4192,4.159,90,1.62,5.85,1000
55,4.275,0.036,0.036,0.4263,4.239,90,1.65,5.95,1000
56,4.365,0.045,0.045,0.4335,4.32,90,1.68,6.05,1000
57,4.455,0.055,0.055,0.4406,4.4,90,1.71,6.15,1000
58,4.545,0.066,0.066,0.4477,4.479,90,1.74,6.25,1000
59,4.635,0.076,0.076,0.4549,4.559,90,1.77,6.35,1000
60,4.725,0.087,0.087,0.462,4.638,90,1.8,6.45,1000
61,4.815,0.098,0.098,0.4692,4.717,90,1.83,6.55,1000
62,4.905,0.11,0.11,0.4763,4.795,90,1.86,6.65,1000
63,4.995,0.121,0.121,0.4835,4.874,90,1.89,6.75,1000
64,5.085,0.133,0.133,0.4906,4.952,90,1.91,6.85,1000
65,5.175,0.146,0.146,0.4978,5.029,90,1.94,6.95,1000
66,5.265,0.158,0.158,0.5049,5.107,90,1.97,7.05,1000
67,5.355,0.171,0.171,0.512,5.184,90,2.0,7.15,1000
68,5.445,0.185,0.185,0.5192,5.26,90,2.03,7.25,1000
69,5.535,0.198,0.198,0.5263,5.337,90,2.06,7.35,1000
70,5.625,0.212,0.212,0.5335,5.413,90,2.09,7.45,1000
71,5.715,0.226,0.226,0.5406,5.489,90,2.12,7.55,1000
72,5.805,0.241,0.241,0.5477,5.564,90,2.15,7.65,1000
73,5.895,0.255,0.255,0.5549,5.64,90,2.18,7.75,1000
74,5.985,0.27,0.27,0.562,5.715,90,2.21,7.85,1000
75,6.075,0.286,0.286,0.5691,5.789,90,2.24,7.95,1000
76,6.165,0.302,0.302,0.5763,5.863,90,2.27,8.05,1000
77,6.255,0.317,0.317,0.5834,5.938,90,2.3,8.15,1000
78,6.345,0.334,0.334,0.5905,6.011,90,2.33,8.25,1000
79,6.435,0.35,0.35,0.5977,6.085,90,2.36,8.35,1000
80,6.525,0.367,0.367,0.6048,6.158,90,2.39,8.44,1000
81,6.615,0.384,0.384,0.6119,6.231,90,2.42,8.54,1000
82,6.705,0.402,0.402,0.6191,6.303,90,2.45,8.64,1000
83,6.795,0.42,0.42,0.6262,6.375,90,2.48,8.74,1000
84,6.885,0.438,0.438,0.6333,6.447,90,2.51,8.84,1000
85,6.975,0.456,0.456,0.6405,6.519,90,2.54,8.94,1000
86,7.065,0.475,0.475,0.6476,6.59,90,2.57,9.04,1000
87,7.155,0.494,0.494,0.6547,6.661,90,2.6,9.14,1000
88,7.245,0.513,0.513,0.6618,6.732,90,2.63,9.24,1000
89,7.335,0.533,0.533,0.669,6.802,90,2.66,9.34,1000
90,7.425,0.552,0.552,0.6761,6.873,90,2.69,9.44,1000
91,7.515,0.573,0.573,0.6832,6.942,90,2.71,9.54,1000
92,7.605,0.593,0.593,0.6903,7.012,90,2.74,9.64,1000
93,7.695,0.614,0.614,0.6974,7.081,90,2.77,9.74,1000
94,7.785,0.635,0.635,0.7046,7.15,90,2.8,9.84,1000
95,7.875,0.656,0.656,0.7117,7.219,90,2.83,9.94,1000
96,7.965,0.678,0.678,0.7188,7.287,90,2.86,10.04,1000
97,8.055,0.7,0.7,0.7259,7.355,90,2.89,10.14,1000
98,8.145,0.722,0.722,0.733,7.423,90,2.92,10.24,1000
99,8.235,0.745,0.745,0.7402,7.49,90,2.95,10.33,1000
100,8.325,0.768,0.768,0.7473,7.557,90,2.98,10.43,1000
101,8.415,0.791,0.791,0.7544,7.624,90,3.01,10.53,1000
102,8.505,0.814,0.814,0.7615,7.691,90,3.04,10.63,1000
103,8.595,0.838,0.838,0.7686,7.757,90,3.07,10.73,1000
104,8.685,0.862,0.862,0.7757,7.823,90,3.1,10.83,1000
105,8.775,0.887,0.887,0.7828,7.888,90,3.13,10.93,1000
106,8.865,0.911,0.911,0.7899,7.954,90,3.16,11.03,1000
107,8.955,0.936,0.936,0.7971,8.019,90,3.19,11.13,1000
108,9.045,0.962,0.962,0.8042,8.083,90,3.21,11.23,1000
109,9.135,0.987,0.987,0.8113,8.148,90,3.24,11.33,1000
110,9.225,1.013,1.013,0.8184,8.212,90,3.27,11.43,1000
111,9.315,1.039,1.039,0.8255,8.276,90,3.3,11.53,1000
