timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,velocity,pwm_effort,hz
0,1,5.0,0.0,5.009,-0.002,0.009,-80.41,160.78,0.0,127,1000
1,1,5.015,0.0,4.994,0.001,0.021,-80.4,160.83,29.08,127,1000
2,1,5.03,0.0,5.033,0.004,0.005,-80.3,160.68,29.08,127,1000
3,1,5.045,0.0,4.996,0.005,0.049,-80.35,160.83,29.09,127,1000
4,1,5.06,0.0,4.995,0.007,0.065,-80.34,160.83,29.09,127,1000
5,1,5.075,0.0,4.994,0.01,0.082,-80.3,160.84,29.09,127,1000
6,1,5.09,0.0,5.009,0.003,0.081,-80.35,160.78,29.09,127,1000
7,1,5.105,0.0,5.027,0.014,0.079,-80.2,160.71,29.1,127,1000
8,1,5.12,0.0,5.026,0.005,0.094,-80.3,160.71,29.1,127,1000
9,1,5.135,0.0,5.067,-0.003,0.068,-80.31,160.55,29.1,127,1000
10,1,5.15,0.0,5.031,0.004,0.119,-80.3,160.69,29.1,127,1000
11,1,5.165,0.0,5.072,0.005,0.094,-80.21,160.53,29.11,127,1000
12,1,5.18,0.0,5.07,0.013,0.111,-80.12,160.54,29.11,127,1000
13,1,5.195,0.0,5.118,-0.002,0.077,-80.2,160.35,29.11,127,1000
14,1,5.21,0.0,5.088,0.015,0.123,-80.07,160.47,29.11,127,1000
15,1,5.225,0.0,5.124,0.006,0.101,-80.1,160.33,29.12,127,1000
16,1,5.24,0.0,5.131,0.002,0.109,-80.13,160.3,29.12,127,1000
17,1,5.255,0.0,5.139,0.017,0.118,-79.95,160.27,29.12,127,1000
18,1,5.27,0.0,5.151,0.016,0.12,-79.93,160.22,29.12,127,1000
19,1,5.285,0.0,5.198,0.012,0.088,-79.89,160.04,29.13,127,1000
20,1,5.3,0.0,5.189,0.012,0.112,-79.91,160.08,29.13,127,1000
21,1,5.315,0.0,5.208,0.013,0.108,-79.86,160.01,29.13,127,1000
22,1,5.33,0.0,5.229,0.017,0.103,-79.77,159.92,29.14,127,1000
23,1,5.345,0.0,5.227,0.014,0.119,-79.81,159.93,29.14,127,1000
24,1,5.36,0.0,5.265,0.004,0.095,-79.85,159.78,29.14,127,1000
25,1,5.375,0.0,5.274,0.008,0.102,-79.78,159.75,29.14,127,1000
