timestamp_ms,target_pos,actual_pos,error,velocity_cmd,hz
0,0.0,0.075,-0.075,60,500
2,0.0,-0.023,0.023,60,500
4,0.0,-0.014,0.014,60,500
6,0.0,-0.049,0.049,60,500
8,0.0,-0.023,0.023,60,500
10,0.0,0.027,-0.027,60,500
12,0.0,-0.026,0.026,60,500
14,0.0,-0.033,0.033,60,500
16,0.0,-0.027,0.027,60,500
18,0.0,-0.03,0.03,60,500
20,0.0,0.086,-0.086,60,500
22,0.0,-0.002,0.002,60,500
24,0.0,-0.002,0.002,60,500
26,0.0,-0.015,0.015,60,500
28,0.0,-0.12,0.12,60,500
30,0.0,0.002,-0.002,60,500
32,0.0,0.028,-0.028,60,500
34,0.0,0.002,-0.002,60,500
36,0.0,-0.017,0.017,60,500
38,0.0,-0.012,0.012,60,500
40,0.0,-0.059,0.059,60,500
42,0.0,0.092,-0.092,60,500
44,0.0,0.08,-0.08,60,500
46,0.0,0.024,-0.024,60,500
48,0.0,-0.025,0.025,60,500
50,0.0,0.061,-0.061,60,500
52,0.0,-0.014,0.014,60,500
54,0.0,0.096,-0.096,60,500
56,0.0,-0.04,0.04,60,500
58,0.0,0.013,-0.013,60,500
60,0.0,0.075,-0.075,60,500
62,0.0,-0.024,0.024,60,500
64,0.0,0.06,-0.06,60,500
66,0.0,0.023,-0.023,60,500
68,0.0,0.038,-0.038,60,500
70,0.0,0.009,-0.009,60,500
72,0.0,-0.004,0.004,60,500
74,0.0,-0.026,0.026,60,500
76,0.0,-0.01,0.01,60,500
78,0.0,-0.066,0.066,60,500
80,0.0,0.042,-0.042,60,500
82,0.0,-0.124,0.124,60,500
84,0.0,0.013,-0.013,60,500
86,0.0,0.092,-0.092,60,500
88,0.0,-0.03,0.03,60,500
90,0.0,0.113,-0.113,60,500
92,0.0,-0.003,0.003,60,500
94,0.0,-0.006,0.006,60,500
96,0.0,-0.05,0.05,60,500
98,0.0,0.075,-0.075,60,500
100,0.0,0.057,-0.057,60,500
102,0.0,-0.049,0.049,60,500
104,0.0,0.089,-0.089,60,500
106,0.0,-0.001,0.001,60,500
108,0.0,0.022,-0.022,60,500
110,0.0,0.034,-0.034,60,500
112,0.0,0.052,-0.052,60,500
114,0.0,-0.045,0.045,60,500
116,0.0,-0.058,0.058,60,500
118,0.0,-0.094,0.094,60,500
120,0.0,-0.011,0.011,60,500
122,0.0,0.064,-0.064,60,500
124,0.0,-0.073,0.073,60,500
126,0.0,0.086,-0.086,60,500
128,0.0,-0.058,0.058,60,500
130,0.0,0.087,-0.087,60,500
132,0.0,-0.033,0.033,60,500
134,0.0,0.05,-0.05,60,500
136,0.0,0.035,-0.035,60,500
138,0.0,0.069,-0.069,60,500
140,0.0,-0.064,0.064,60,500
142,0.0,-0.029,0.029,60,500
144,0.0,0.064,-0.064,60,500
146,0.0,0.011,-0.011,60,500
148,0.0,-0.058,0.058,60,500
150,0.0,-0.114,0.114,60,500
152,0.0,0.096,-0.096,60,500
154,0.0,0.065,-0.065,60,500
156,0.0,0.031,-0.031,60,500
158,0.0,-0.088,0.088,60,500
160,0.0,0.026,-0.026,60,500
162,0.0,-0.048,0.048,60,500
164,0.0,-0.101,0.101,60,500
166,0.0,0.121,-0.121,60,500
168,0.0,-0.091,0.091,60,500
170,0.0,-0.055,0.055,60,500
172,0.0,0.002,-0.002,60,500
174,0.0,0.008,-0.008,60,500
176,0.0,-0.038,0.038,60,500
178,0.0,-0.027,0.027,60,500
