timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,motor1_vel,motor2_vel,velocity,pwm_effort,hz
0,1,25.0,8.0,25.013,7.973,0.03,-11.26,57.89,-7.35,15.68,18.0,127,1000
1,1,24.998,8.0,25.016,7.979,0.027,-11.23,57.85,-14.69,31.34,18.0,127,1000
2,1,24.992,7.998,25.016,7.966,0.04,-11.27,57.88,-29.36,62.64,18.0,127,1000
3,1,24.982,7.996,25.011,7.995,0.029,-11.2,57.85,-43.98,93.84,18.0,127,1000
4,1,24.969,7.994,25.011,7.957,0.056,-11.32,57.94,-57.61,122.95,18.0,127,1000
5,1,24.951,7.99,25.008,7.986,0.057,-11.24,57.89,-64.79,138.29,18.0,127,1000
6,1,24.934,7.987,25.006,7.977,0.073,-11.27,57.93,-65.54,139.94,18.0,127,1000
7,1,24.916,7.983,25.017,7.937,0.111,-11.37,57.94,-65.38,139.63,18.0,127,1000
8,1,24.899,7.98,24.992,7.965,0.095,-11.35,58.06,-65.23,139.33,18.0,127,1000
9,1,24.881,7.976,24.998,7.949,0.121,-11.39,58.05,-65.07,139.03,18.0,127,1000
10,1,24.863,7.973,24.979,7.968,0.116,-11.38,58.15,-64.91,138.73,18.0,127,1000
11,1,24.846,7.969,24.979,7.958,0.134,-11.42,58.18,-64.76,138.43,18.0,127,1000
12,1,24.828,7.966,24.979,7.924,0.157,-11.53,58.26,-64.61,138.14,18.0,127,1000
13,1,24.81,7.962,25.004,7.854,0.222,-11.68,58.23,-64.45,137.84,18.0,127,1000
14,1,24.793,7.959,24.97,7.915,0.182,-11.59,58.35,-64.3,137.55,18.0,127,1000
15,1,24.775,7.955,24.982,7.866,0.226,-11.71,58.37,-64.15,137.26,18.0,127,1000
16,1,24.757,7.951,24.973,7.868,0.231,-11.73,58.43,-64.0,136.98,18.0,127,1000
17,1,24.74,7.948,24.961,7.848,0.243,-11.83,58.57,-63.85,136.69,18.0,127,1000
18,1,24.722,7.944,24.97,7.812,0.281,-11.92,58.59,-63.71,136.41,18.0,127,1000
19,1,24.704,7.941,24.942,7.834,0.261,-11.94,58.75,-63.56,136.13,18.0,127,1000
20,1,24.687,7.937,24.94,7.823,0.278,-11.98,58.79,-63.41,135.85,18.0,127,1000
21,1,24.669,7.934,24.919,7.81,0.279,-12.08,58.97,-63.27,135.57,18.0,127,1000
22,1,24.651,7.93,24.932,7.766,0.325,-12.19,58.97,-63.12,135.3,18.0,127,1000
23,1,24.634,7.927,24.929,7.736,0.351,-12.29,59.07,-62.98,135.02,18.0,127,1000
24,1,24.616,7.923,24.92,7.766,0.342,-12.23,59.07,-62.84,134.75,18.0,127,1000
25,1,24.598,7.92,24.913,7.73,0.367,-12.36,59.2,-62.7,134.48,18.0,127,1000
26,1,24.581,7.916,24.891,7.751,0.351,-12.36,59.32,-62.56,134.22,18.0,127,1000
27,1,24.563,7.913,24.892,7.714,0.384,-12.48,59.4,-62.42,133.95,18.0,127,1000
28,1,24.546,7.909,24.863,7.741,0.359,-12.48,59.54,-62.28,133.68,18.0,127,1000
29,1,24.528,7.906,24.855,7.71,0.381,-12.6,59.67,-62.14,133.42,18.0,127,1000
30,1,24.51,7.902,24.848,7.684,0.402,-12.71,59.78,-62.01,133.16,18.0,127,1000
31,1,24.493,7.899,24.804,7.741,0.349,-12.65,59.97,-61.87,132.9,18.0,127,1000
32,1,24.475,7.895,24.802,7.718,0.372,-12.73,60.04,-61.73,132.64,18.0,127,1000
