timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,motor1_vel,motor2_vel,velocity,pwm_effort,hz
0,1,10.0,5.0,9.983,4.987,0.021,-41.62,136.32,0.0,0.0,18.0,127,1000
1,1,10.001,4.999,9.99,4.986,0.018,-41.63,136.3,-4.0,-4.0,18.0,127,1000
2,1,10.004,4.998,10.004,4.995,0.003,-41.58,136.23,-8.0,-8.0,18.0,127,1000
3,1,10.008,4.997,10.008,5.008,0.011,-41.52,136.19,-10.04,-12.0,18.0,127,1000
4,1,10.013,4.996,10.014,4.982,0.014,-41.66,136.22,-7.35,-16.0,18.0,127,1000
5,1,10.019,4.995,10.006,4.99,0.014,-41.61,136.23,-7.35,-20.0,18.0,127,1000
6,1,10.026,4.994,10.044,4.976,0.026,-41.71,136.12,-7.35,-24.0,18.0,127,1000
7,1,10.034,4.993,10.01,4.988,0.024,-41.63,136.22,-7.35,-28.0,18.0,127,1000
8,1,10.043,4.993,10.038,4.997,0.007,-41.59,136.1,-7.35,-32.0,18.0,127,1000
9,1,10.053,4.992,10.067,4.984,0.016,-41.67,136.02,-7.35,-36.0,18.0,127,1000
10,1,10.064,4.992,10.061,4.997,0.006,-41.6,136.02,-7.35,-40.0,18.0,127,1000
11,1,10.076,4.991,10.083,5.001,0.012,-41.59,135.93,-7.35,-44.0,18.0,127,1000
12,1,10.089,4.991,10.071,4.987,0.019,-41.65,136.0,-6.34,-48.0,18.0,127,1000
13,1,10.103,4.991,10.087,4.993,0.017,-41.63,135.93,-5.84,-52.0,18.0,127,1000
14,1,10.118,4.991,10.129,4.978,0.017,-41.73,135.8,-5.84,-56.0,18.0,127,1000
15,1,10.134,4.991,10.128,5.001,0.012,-41.6,135.77,-5.84,-60.0,18.0,127,1000
16,1,10.152,4.991,10.11,5.007,0.045,-41.56,135.82,-5.84,-64.0,18.0,127,1000
17,1,10.17,4.992,10.18,4.986,0.012,-41.71,135.6,-5.84,-68.0,18.0,127,1000
18,1,10.189,4.992,10.169,4.995,0.02,-41.65,135.62,-5.84,-72.0,18.0,127,1000
19,1,10.21,4.992,10.188,4.985,0.023,-41.71,135.57,-5.84,-76.0,18.0,127,1000
20,1,10.231,4.992,10.252,4.981,0.024,-41.76,135.34,-5.84,-80.0,18.0,127,1000
21,1,10.253,4.993,10.246,5.006,0.015,-41.62,135.32,-5.84,-84.0,18.0,127,1000
22,1,10.277,4.993,10.263,4.983,0.018,-41.75,135.3,-5.84,-88.0,18.0,127,1000
23,1,10.301,4.994,10.316,4.992,0.015,-41.72,135.08,-5.35,-92.0,18.0,127,1000
24,1,10.327,4.994,10.341,4.987,0.016,-41.75,135.0,-4.39,-96.0,18.0,127,1000
25,1,10.353,4.995,10.325,5.01,0.032,-41.62,135.02,-4.39,-100.0,18.0,127,1000
26,1,10.381,4.996,10.375,5.008,0.014,-41.65,134.83,-4.39,-104.0,18.0,127,1000
27,1,10.41,4.997,10.421,5.001,0.012,-41.7,134.68,-4.39,-108.0,18.0,127,1000
28,1,10.439,4.997,10.429,4.989,0.013,-41.77,134.67,-4.39,-112.0,18.0,127,1000
29,1,10.47,4.998,10.498,4.998,0.028,-41.74,134.39,-4.39,-116.0,18.0,127,1000
30,1,10.502,4.999,10.495,5.012,0.015,-41.66,134.38,-4.39,-120.0,18.0,127,1000
31,1,10.535,4.999,10.552,5.006,0.019,-41.71,134.18,-4.39,-124.0,18.0,127,1000
32,1,10.568,5.0,10.58,5.013,0.018,-41.68,134.06,-4.39,-128.0,18.0,127,1000
33,1,10.601,5.0,10.629,5.011,0.03,-41.7,133.88,-4.39,-124.0,18.0,127,1000
34,1,10.633,5.001,10.638,4.999,0.005,-41.76,133.87,-4.38,-120.0,18.0,127,1000
35,1,10.664,5.001,10.656,4.994,0.01,-41.79,133.81,-2.99,-116.0,18.0,127,1000
36,1,10.693,5.002,10.678,5.0,0.016,-41.77,133.72,-2.99,-112.0,18.0,127,1000
37,1,10.722,5.002,10.708,5.0,0.014,-41.77,133.6,-2.99,-108.0,18.0,127,1000
38,1,10.749,5.002,10.764,4.986,0.022,-41.86,133.42,-2.99,-104.0,18.0,127,1000
39,1,10.776,5.003,10.796,4.988,0.024,-41.85,133.29,-2.99,-100.0,18.0,127,1000
40,1,10.801,5.003,10.822,5.01,0.022,-41.73,133.15,-2.99,-96.0,18.0,127,1000
41,1,10.825,5.003,10.826,4.995,0.008,-41.81,133.16,-2.99,-92.0,18.0,127,1000
42,1,10.849,5.003,10.871,4.983,0.03,-41.88,133.02,-2.99,-88.0,18.0,127,1000
43,1,10.871,5.003,10.878,5.0,0.008,-41.79,132.96,-2.99,-84.0,18.0,127,1000
44,1,10.892,5.002,10.907,4.994,0.017,-41.83,132.86,-2.99,-80.0,18.0,127,1000
45,1,10.912,5.002,10.903,5.003,0.01,-41.78,132.86,-2.99,-76.0,18.0,127,1000
46,1,10.931,5.002,10.931,5.004,0.002,-41.78,132.75,-2.09,-72.0,18.0,127,1000
47,1,10.949,5.002,10.943,5.015,0.014,-41.72,132.69,-1.65,-68.0,18.0,127,1000
48,1,10.966,5.002,11.0,4.972,0.045,-41.95,132.55,-1.65,-64.0,18.0,127,1000
49,1,10.982,5.002,10.99,4.999,0.009,-41.81,132.54,-1.65,-60.0,18.0,127,1000
50,1,10.997,5.002,10.987,5.009,0.012,-41.76,132.53,-1.65,-56.0,18.0,127,1000
51,1,11.011,5.002,11.034,5.004,0.023,-41.79,132.36,-1.65,-52.0,18.0,127,1000
52,1,11.023,5.002,11.036,4.995,0.014,-41.83,132.37,-1.65,-48.0,18.0,127,1000
53,1,11.035,5.001,11.041,4.993,0.01,-41.84,132.36,-1.65,-44.0,18.0,127,1000
54,1,11.046,5.001,11.047,5.004,0.003,-41.79,132.31,-1.65,-40.0,18.0,127,1000
55,1,11.055,5.001,11.068,5.011,0.016,-41.75,132.22,-1.65,-36.0,18.0,127,1000
56,1,11.064,5.001,11.073,4.984,0.019,-41.89,132.25,-1.65,-32.0,18.0,127,1000
57,1,11.071,5.0,11.103,5.002,0.032,-41.8,132.1,-1.21,-28.0,18.0,127,1000
58,1,11.077,5.0,11.087,5.002,0.01,-41.8,132.16,-0.36,-24.0,18.0,127,1000
59,1,11.083,5.0,11.109,5.006,0.027,-41.78,132.07,-0.36,-20.0,18.0,127,1000
60,1,11.087,5.0,11.105,4.992,0.02,-41.85,132.11,-0.36,-16.0,18.0,127,1000
61,1,11.092,5.0,11.059,5.01,0.035,-41.75,132.25,-0.36,-20.0,18.0,127,1000
62,1,11.098,5.0,11.094,5.008,0.009,-41.77,132.12,-0.36,-24.0,18.0,127,1000
63,1,11.106,5.0,11.088,5.006,0.018,-41.78,132.15,-0.36,-28.0,18.0,127,1000
64,1,11.114,5.0,11.098,5.004,0.016,-41.79,132.12,-0.36,-32.0,18.0,127,1000
65,1,11.124,5.0,11.113,5.005,0.012,-41.78,132.06,-0.36,-36.0,18.0,127,1000
66,1,11.134,5.0,11.134,4.999,0.001,-41.82,131.99,-0.36,-40.0,18.0,127,1000
67,1,11.146,5.0,11.156,4.992,0.013,-41.85,131.91,-0.36,-44.0,18.0,127,1000
68,1,11.158,5.0,11.148,5.003,0.011,-41.79,131.93,-0.35,-48.0,18.0,127,1000
69,1,11.172,5.0,11.169,4.987,0.013,-41.87,131.87,0.89,-52.0,18.0,127,1000
70,1,11.186,5.0,11.167,5.008,0.021,-41.77,131.85,0.89,-56.0,18.0,127,1000
71,1,11.202,5.001,11.22,4.994,0.019,-41.84,131.67,0.89,-60.0,18.0,127,1000
72,1,11.219,5.001,11.216,5.006,0.006,-41.78,131.66,0.89,-64.0,18.0,127,1000
73,1,11.236,5.001,11.242,5.005,0.007,-41.78,131.57,0.89,-68.0,18.0,127,1000
74,1,11.255,5.001,11.282,4.995,0.028,-41.84,131.43,0.89,-72.0,18.0,127,1000
75,1,11.275,5.001,11.256,5.002,0.019,-41.8,131.52,0.89,-76.0,18.0,127,1000
76,1,11.296,5.001,11.305,4.999,0.009,-41.81,131.34,0.89,-80.0,18.0,127,1000
77,1,11.318,5.001,11.322,4.989,0.013,-41.86,131.29,0.89,-84.0,18.0,127,1000
78,1,11.341,5.001,11.323,4.996,0.019,-41.83,131.27,0.89,-88.0,18.0,127,1000
79,1,11.365,5.001,11.351,4.984,0.021,-41.89,131.18,0.89,-92.0,18.0,127,1000
80,1,11.39,5.001,11.377,4.984,0.021,-41.88,131.08,1.7,-96.0,18.0,127,1000
81,1,11.416,5.001,11.421,4.99,0.012,-41.85,130.9,2.09,-100.0,18.0,127,1000
82,1,11.443,5.001,11.457,4.999,0.014,-41.8,130.75,2.09,-104.0,18.0,127,1000
83,1,11.471,5.001,11.458,4.992,0.016,-41.84,130.76,2.09,-108.0,18.0,127,1000
84,1,11.5,5.001,11.483,5.001,0.017,-41.79,130.65,2.09,-112.0,18.0,127,1000
85,1,11.53,5.0,11.532,5.0,0.002,-41.79,130.46,2.09,-116.0,18.0,127,1000
86,1,11.559,5.0,11.586,4.984,0.031,-41.86,130.28,2.09,-112.0,18.0,127,1000
87,1,11.587,5.0,11.597,4.999,0.009,-41.79,130.21,2.09,-108.0,18.0,127,1000
88,1,11.614,4.999,11.597,5.002,0.017,-41.77,130.2,2.09,-104.0,18.0,127,1000
89,1,11.64,4.999,11.632,4.997,0.008,-41.79,130.08,2.09,-100.0,18.0,127,1000
90,1,11.665,4.999,11.675,4.986,0.016,-41.84,129.93,2.09,-96.0,18.0,127,1000
91,1,11.689,4.998,11.671,4.993,0.019,-41.8,129.93,2.49,-92.0,18.0,127,1000
92,1,11.712,4.998,11.704,4.984,0.016,-41.84,129.82,3.25,-88.0,18.0,127,1000
93,1,11.734,4.998,11.722,4.984,0.018,-41.84,129.75,3.25,-84.0,18.0,127,1000
94,1,11.754,4.998,11.745,4.997,0.01,-41.77,129.64,3.25,-80.0,18.0,127,1000
95,1,11.774,4.998,11.793,4.99,0.021,-41.8,129.47,3.25,-76.0,18.0,127,1000
96,1,11.793,4.998,11.781,4.999,0.012,-41.75,129.5,3.25,-72.0,18.0,127,1000
97,1,11.81,4.998,11.81,4.988,0.01,-41.8,129.4,3.25,-68.0,18.0,127,1000
98,1,11.826,4.998,11.826,4.987,0.011,-41.81,129.34,3.25,-64.0,18.0,127,1000
99,1,11.842,4.998,11.837,5.011,0.014,-41.68,129.26,3.25,-60.0,18.0,127,1000
100,1,11.856,4.998,11.869,5.003,0.014,-41.72,129.15,3.25,-56.0,18.0,127,1000
