timestamp_ms,target_pos,actual_pos,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.064,-0.064,75,0.0,0.0,1000
1,0.003,-0.01,0.013,75,0.1,4.82,1000
2,0.012,0.067,-0.055,75,0.2,4.96,1000
3,0.027,0.12,-0.093,75,0.3,5.09,1000
4,0.048,-0.058,0.106,75,0.4,5.22,1000
5,0.075,-0.035,0.11,75,0.5,5.35,1000
6,0.108,-0.041,0.149,75,0.6,5.48,1000
7,0.147,0.105,0.042,75,0.7,5.61,1000
8,0.192,0.039,0.153,75,0.8,5.75,1000
9,0.243,-0.068,0.311,75,0.9,5.88,1000
10,0.3,-0.05,0.35,75,1.0,6.01,1000
11,0.363,-0.111,0.474,75,1.1,6.14,1000
12,0.432,0.063,0.369,75,1.2,6.27,1000
13,0.506,0.051,0.455,75,1.3,6.4,1000
14,0.581,0.113,0.468,75,1.4,6.54,1000
15,0.656,0.055,0.601,75,1.5,6.67,1000
16,0.731,0.103,0.628,75,1.6,6.8,1000
17,0.806,0.073,0.733,75,1.7,6.93,1000
18,0.881,0.044,0.838,75,1.8,7.06,1000
19,0.956,0.099,0.858,75,1.9,7.19,1000
20,1.031,0.041,0.991,75,2.0,7.33,1000
21,1.106,0.088,1.018,75,2.1,7.46,1000
22,1.181,0.119,1.063,75,2.2,7.59,1000
23,1.256,0.014,1.243,75,2.3,7.72,1000
24,1.331,0.193,1.139,75,2.4,7.85,1000
25,1.406,0.099,1.308,75,2.5,7.98,1000
26,1.481,0.144,1.337,75,2.6,8.12,1000
27,1.556,0.14,1.417,75,2.7,8.25,1000
28,1.631,0.068,1.563,75,2.8,8.38,1000
29,1.706,0.123,1.583,75,2.9,8.51,1000
30,1.781,0.195,1.587,75,3.0,8.64,1000
31,1.856,0.149,1.707,75,3.1,8.77,1000
32,1.931,0.149,1.782,75,3.2,8.91,1000
33,2.006,0.151,1.855,75,3.3,9.04,1000
34,2.081,0.181,1.9,75,3.4,9.17,1000
35,2.156,0.111,2.046,75,3.5,9.3,1000
36,2.231,0.28,1.951,75,3.6,9.43,1000
37,2.306,0.29,2.016,75,3.7,9.56,1000
38,2.381,0.326,2.056,75,3.8,9.69,1000
39,2.456,0.206,2.25,75,3.9,9.83,1000
40,2.531,0.33,2.201,75,4.0,9.96,1000
41,2.606,0.216,2.391,75,4.1,10.09,1000
42,2.681,0.184,2.497,75,4.2,10.22,1000
43,2.756,0.213,2.543,75,4.29,10.35,1000
44,2.831,0.102,2.729,75,4.39,10.48,1000
45,2.906,0.352,2.554,75,4.49,10.61,1000
46,2.981,0.351,2.63,75,4.59,10.75,1000
47,3.056,0.436,2.62,75,4.69,10.88,1000
48,3.131,0.324,2.807,75,4.79,11.01,1000
49,3.206,0.354,2.852,75,4.89,11.14,1000
50,3.281,0.416,2.865,75,4.99,11.27,1000
51,3.356,0.391,2.965,75,5.09,11.4,1000
52,3.431,0.306,3.125,75,5.19,11.53,1000
53,3.506,0.458,3.048,75,5.29,11.66,1000
54,3.581,0.443,3.138,75,5.39,11.79,1000
55,3.656,0.393,3.263,75,5.49,11.93,1000
56,3.731,0.571,3.16,75,5.59,12.06,1000
57,3.806,0.588,3.219,75,5.69,12.19,1000
58,3.881,0.668,3.213,75,5.79,12.32,1000
59,3.956,0.516,3.44,75,5.89,12.45,1000
