timestamp_ms,target_pos,actual_pos,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.031,-0.031,720,0.0,0.0,1000
1,0.003,-0.076,0.079,720,0.1,4.82,1000
2,0.012,0.009,0.003,720,0.2,4.96,1000
3,0.027,-0.023,0.05,720,0.3,5.09,1000
4,0.048,0.088,-0.04,720,0.4,5.22,1000
5,0.075,0.035,0.04,720,0.5,5.35,1000
6,0.108,0.054,0.054,720,0.6,5.48,1000
7,0.147,0.055,0.092,720,0.7,5.61,1000
8,0.192,0.031,0.161,720,0.8,5.75,1000
9,0.243,-0.03,0.273,720,0.9,5.88,1000
10,0.3,-0.063,0.363,720,1.0,6.01,1000
11,0.363,-0.032,0.395,720,1.1,6.14,1000
12,0.432,0.004,0.428,720,1.2,6.27,1000
13,0.507,0.064,0.443,720,1.3,6.4,1000
14,0.588,0.053,0.535,720,1.4,6.54,1000
15,0.675,0.092,0.583,720,1.5,6.67,1000
16,0.768,0.106,0.662,720,1.6,6.8,1000
17,0.867,0.102,0.765,720,1.7,6.93,1000
18,0.972,-0.015,0.987,720,1.8,7.06,1000
19,1.083,0.063,1.02,720,1.9,7.19,1000
20,1.2,0.156,1.044,720,2.0,7.33,1000
21,1.323,0.018,1.305,720,2.1,7.46,1000
22,1.452,0.085,1.367,720,2.2,7.59,1000
23,1.587,0.136,1.451,720,2.3,7.72,1000
24,1.728,0.105,1.623,720,2.4,7.85,1000
25,1.875,0.088,1.787,720,2.5,7.98,1000
26,2.028,0.106,1.922,720,2.6,8.12,1000
27,2.187,0.119,2.068,720,2.7,8.25,1000
28,2.352,0.158,2.194,720,2.8,8.38,1000
29,2.523,0.073,2.45,720,2.9,8.51,1000
30,2.7,0.168,2.532,720,3.0,8.64,1000
31,2.883,0.209,2.674,720,3.1,8.77,1000
32,3.072,0.12,2.952,720,3.2,8.91,1000
33,3.267,0.192,3.075,720,3.3,9.04,1000
34,3.468,0.054,3.414,720,3.4,9.17,1000
35,3.675,0.114,3.561,720,3.5,9.3,1000
36,3.888,0.264,3.624,720,3.6,9.43,1000
37,4.107,0.296,3.811,720,3.7,9.56,1000
38,4.332,0.238,4.094,720,3.8,9.69,1000
39,4.563,0.274,4.289,720,3.9,9.83,1000
40,4.8,0.264,4.536,720,4.0,9.96,1000
41,5.043,0.171,4.872,720,4.1,10.09,1000
42,5.292,0.343,4.949,720,4.2,10.22,1000
43,5.547,0.25,5.297,720,4.29,10.35,1000
44,5.808,0.216,5.592,720,4.39,10.48,1000
45,6.075,0.351,5.724,720,4.49,10.61,1000
46,6.348,0.369,5.979,720,4.59,10.75,1000
47,6.627,0.38,6.247,720,4.69,10.88,1000
