timestamp_ms,target_pos,actual_pos,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,-0.008,0.008,180,0.0,0.0,1000
1,0.003,0.088,-0.085,180,0.1,4.82,1000
2,0.012,0.027,-0.015,180,0.2,4.96,1000
3,0.027,-0.023,0.05,180,0.3,5.09,1000
4,0.048,0.058,-0.01,180,0.4,5.22,1000
5,0.075,-0.044,0.119,180,0.5,5.35,1000
6,0.108,0.013,0.095,180,0.6,5.48,1000
7,0.147,0.05,0.097,180,0.7,5.61,1000
8,0.192,-0.057,0.249,180,0.8,5.75,1000
9,0.243,0.007,0.236,180,0.9,5.88,1000
10,0.3,0.002,0.298,180,1.0,6.01,1000
11,0.363,-0.068,0.431,180,1.1,6.14,1000
12,0.432,0.014,0.418,180,1.2,6.27,1000
13,0.507,-0.047,0.554,180,1.3,6.4,1000
14,0.588,0.098,0.49,180,1.4,6.54,1000
15,0.675,0.052,0.623,180,1.5,6.67,1000
16,0.768,0.078,0.69,180,1.6,6.8,1000
17,0.867,0.013,0.854,180,1.7,6.93,1000
18,0.972,0.162,0.81,180,1.8,7.06,1000
19,1.083,0.085,0.998,180,1.9,7.19,1000
20,1.2,0.178,1.022,180,2.0,7.33,1000
21,1.323,0.167,1.156,180,2.1,7.46,1000
22,1.452,0.013,1.439,180,2.2,7.59,1000
23,1.587,0.055,1.532,180,2.3,7.72,1000
24,1.728,0.047,1.681,180,2.4,7.85,1000
25,1.875,0.005,1.87,180,2.5,7.98,1000
26,2.028,0.069,1.959,180,2.6,8.12,1000
27,2.187,0.066,2.121,180,2.7,8.25,1000
28,2.352,0.13,2.222,180,2.8,8.38,1000
29,2.523,0.044,2.479,180,2.9,8.51,1000
30,2.7,0.064,2.636,180,3.0,8.64,1000
31,2.88,0.25,2.63,180,3.1,8.77,1000
32,3.06,0.024,3.036,180,3.2,8.91,1000
33,3.24,0.145,3.095,180,3.3,9.04,1000
34,3.42,0.251,3.169,180,3.4,9.17,1000
35,3.6,0.131,3.469,180,3.5,9.3,1000
36,3.78,0.271,3.509,180,3.6,9.43,1000
37,3.96,0.262,3.698,180,3.7,9.56,1000
38,4.14,0.299,3.841,180,3.8,9.69,1000
39,4.32,0.294,4.026,180,3.9,9.83,1000
