timestamp_ms,target_pos,actual_pos,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,0.005,-0.005,60,0.0,0.0,1000
1,0.003,0.04,-0.037,60,0.1,4.82,1000
2,0.012,0.023,-0.011,60,0.2,4.96,1000
3,0.027,0.056,-0.029,60,0.3,5.09,1000
4,0.048,-0.036,0.084,60,0.4,5.22,1000
5,0.075,-0.03,0.105,60,0.5,5.35,1000
6,0.108,0.018,0.09,60,0.6,5.48,1000
7,0.147,0.012,0.135,60,0.7,5.61,1000
8,0.192,-0.064,0.256,60,0.8,5.75,1000
9,0.243,-0.006,0.249,60,0.9,5.88,1000
10,0.3,0.041,0.259,60,1.0,6.01,1000
11,0.36,-0.07,0.43,60,1.1,6.14,1000
12,0.42,-0.111,0.531,60,1.2,6.27,1000
13,0.48,-0.008,0.488,60,1.3,6.4,1000
14,0.54,0.198,0.342,60,1.4,6.54,1000
15,0.6,0.067,0.533,60,1.5,6.67,1000
16,0.66,0.057,0.603,60,1.6,6.8,1000
17,0.72,0.047,0.673,60,1.7,6.93,1000
18,0.78,0.1,0.68,60,1.8,7.06,1000
19,0.84,0.058,0.782,60,1.9,7.19,1000
20,0.9,0.133,0.767,60,2.0,7.33,1000
21,0.96,0.108,0.852,60,2.1,7.46,1000
22,1.02,0.156,0.864,60,2.2,7.59,1000
23,1.08,0.055,1.025,60,2.3,7.72,1000
24,1.14,0.057,1.083,60,2.4,7.85,1000
25,1.2,0.082,1.118,60,2.5,7.98,1000
26,1.26,0.083,1.177,60,2.6,8.12,1000
27,1.32,0.139,1.181,60,2.7,8.25,1000
28,1.38,0.082,1.298,60,2.8,8.38,1000
29,1.44,0.167,1.273,60,2.9,8.51,1000
30,1.5,0.137,1.363,60,3.0,8.64,1000
31,1.56,0.19,1.37,60,3.1,8.77,1000
32,1.62,0.129,1.491,60,3.2,8.91,1000
33,1.68,0.147,1.533,60,3.3,9.04,1000
34,1.74,0.169,1.571,60,3.4,9.17,1000
